# convergence data
# read data in Python with:
#     import pandas as pd
#     df = pd.read_csv(open('./paperfig_data/convergence.csv'), index_col=0, header=[4,5])
category,independent,independent,independent,independent,independent,independent,independent,independent,rho,cross,cross,cross,cross,cross,cross,cross
n_trajs,1,2,4,8,16,32,64,128,1,2,4,8,16,32,64,128
iter,,,,,,,,,,,,,,,,
430,0.009450693389564502,0.009707615740032205,0.00992556134890099,0.009569612520624604,0.00973798705519957,0.009839098275654212,0.00972736906695415,0.009718639732874013,0.0033877883712642998,0.00274805206226425,0.0026938506762836933,0.0027152374956617154,0.0027061469561990847,0.0027161824777308663,0.002707067335083635,0.0027060412809991607
440,0.009036713253351869,0.009280795863108926,0.009489650557950036,0.0091546855778053,0.00931983260534397,0.009414539330427463,0.009304912411300048,0.009299454669027485,0.003243081805014314,0.002702867308291168,0.0026498702624186965,0.0026702737257863207,0.002661608766863943,0.0026712795620976726,0.0026633416638395246,0.0026622950029659975
450,0.008641949049459141,0.008873820368762608,0.00907350339116797,0.008762276997761775,0.008913090471939111,0.00900580124386563,0.00889915282154885,0.008898298501984092,0.00311837643061863,0.0026633601155090503,0.0026092814154853317,0.002630982313849395,0.0026226762364520706,0.0026318398089917316,0.002625088512586693,0.0026241106128813696
460,0.008265988539707059,0.008486256493289268,0.008676708349367401,0.008379691843932835,0.008525456008178667,0.008613752524630702,0.008514070540124541,0.008512857028077914,0.003011007734857185,0.002628683629711581,0.002573873359348111,0.002596513958842528,0.0025888246218771505,0.0025973985252605303,0.002591637920711709,0.0025905378102805132
470,0.007908407844818055,0.008117659484416562,0.008298848923214086,0.008015949687125268,0.008161231680458458,0.008244872907618106,0.00814741259073326,0.008147537339483146,0.002918603027063038,0.0025981152694102283,0.00254279129479007,0.002566145736558223,0.0025587795456696316,0.0025669621249696517,0.0025620050493762037,0.002560888356614721
480,0.0075687642747094275,0.007767566208314869,0.00793949429073837,0.00767608273768472,0.007812380591713075,0.007892985503729522,0.007798450058550177,0.007798449529096807,0.0028390658322101636,0.002571040001737135,0.002515350716506548,0.0025392630323719523,0.002532038527113145,0.002540065077657694,0.00253577143010697,0.0025346400844087347
490,0.007246592707404131,0.007435491778280734,0.007598193802944686,0.007348231029485119,0.0074812600597335965,0.007556078211411021,0.007468353867523092,0.0074679329848015286,0.002770556540287017,0.0025469354336102867,0.0024909897873980347,0.0025153440718218567,0.002508358541639999,0.002516023541074386,0.00251241988218065,0.002511229021471384
500,0.006941404462500689,0.007120928419355077,0.00727447426561012,0.007043898115303815,0.007165621325310623,0.007236881201997392,0.007152588689237627,0.007154244599760329,0.00271147090141044,0.002525358636717212,0.002469240959364738,0.0024939465303854824,0.002487246259653686,0.0024945297881924233,0.002491468927358298,0.0024902702045566105
510,0.006652687923520917,0.006823345970720651,0.006980169001863712,0.006753391240243989,0.006867929594055688,0.006933609910128258,0.0068543005624455144,0.006857020348381093,0.002660417626004996,0.002505934595425363,0.002449712303651652,0.0024746959136489055,0.0024680519103117415,0.002475239947902441,0.002472574070039757,0.00247137651599294
520,0.006379910369811004,0.006553965775846438,0.006698432712440083,0.00648743524039852,0.006586937608575649,0.006646316701042321,0.006574128958827696,0.006574756112906699,0.0026161960474814228,0.00248834614743354,0.0024320740741499147,0.0024572754897194127,0.002450767441563695,0.002457745441299952,0.002455458166821689,0.002454265736032024
530,0.006122520620684857,0.006300566628569371,0.0064230594763091675,0.006224212087892811,0.006318476184257071,0.006377903432544074,0.006308839853195858,0.006308728357333093,0.0025777745410564545,0.002472325276933862,0.002416048355773359,0.0024414175951206207,0.0024349577215473373,0.0024418264591934413,0.002439842722195551,0.0024387009306866547
540,0.0058799521949937095,0.0060669060642563055,0.006163262143191073,0.00597621858224151,0.00607059323882031,0.006123303294098381,0.006057953465428589,0.006057228041440599,0.0025442701710325366,0.0024576456180471773,0.0024016573552956277,0.00242689615589764,0.00242048669473649,0.002427279139654792,0.0024255644605855053,0.0024244119477442316
550,0.005651626762182671,0.0058287838292422345,0.005926151198777374,0.005742829314218323,0.005834402470459521,0.005880954284021245,0.005820222809508446,0.005820664557286137,0.0025149298610140924,0.0024441160299208953,0.002388128779328147,0.002413520279074266,0.00240721750669326,0.0024138804437978667,0.002412357416914035,0.0024112063839588638
560,0.005436957715012403,0.005605002152300309,0.0056952088186085215,0.005528333107031047,0.00561210110883803,0.005653541706312271,0.005597819665763337,0.0055989172808003085,0.002489113242249319,0.002431575112000206,0.0023756447443619155,0.002401128781156614,0.002394855507270033,0.0024014397669660514,0.00240012242694132,0.0023989901731933383
570,0.005235353735424164,0.005394894339461831,0.005478090914937894,0.005321938413694327,0.005401881195627567,0.005442060707613217,0.00539048885944815,0.00538905273375323,0.002466277230753433,0.0024198865382319967,0.0023640474373096687,0.0023895855321742765,0.002383386295025103,0.002389857826957442,0.0023887072746582305,0.0023875836428193242
580,0.005046222256386623,0.005207452205286733,0.005274187904227068,0.005132677589109624,0.005206111458278984,0.005243223676587805,0.005193345924630721,0.005192763249960208,0.0024459623090107296,0.0024089350996364667,0.002353210000057504,0.0023787755052046,0.0023726011537263947,0.0023790158319217936,0.002378012603615476,0.0023768715624730152
590,0.004868972748161449,0.005022241458438437,0.005104613807065728,0.004954933213026758,0.005021594863121481,0.005056839856629525,0.005010071336629229,0.005009641380254948,0.0024277804356811483,0.002398623356342666,0.0023430281852537815,0.0023686014330666083,0.0023624538560826913,0.0023688320556338738,0.002367925917613256,0.002366791559814785
600,0.004703019777220763,0.004848805409273682,0.00492359749238469,0.004784368373990322,0.004847428365971074,0.0048795324639460125,0.004838349939963904,0.004836367807827924,0.0024114044745309204,0.002388868811463718,0.00233341516684038,0.002358980985095682,0.002352859668660612,0.002359226250412405,0.002358400736127031,0.002357247560613729
610,0.004547785802347715,0.004686543282153233,0.004754207500510699,0.004624869797647868,0.004686296255830946,0.0047153192320654735,0.004676337447488854,0.004675758830139487,0.002396559014673727,0.0023796015298847006,0.002324298026684324,0.0023498443876509567,0.0023437479289851737,0.002350120209803075,0.002349334753165233,0.002348183941000004
620,0.004402703685713716,0.004534866919825631,0.004595811088741963,0.004479199235207787,0.004534605608750519,0.004561949418804168,0.004524656122104398,0.00452469258386845,0.0023830124463080082,0.002370762135089244,0.0023156151965046945,0.0023411993759054894,0.002335093653096587,0.0023413834304480963,0.002340675925314173,0.0023395344489089975
630,0.004267218907451076,0.004393201940030789,0.004447802317902316,0.004342891105198143,0.004393711601651251,0.004418747406825019,0.004382886467847569,0.004383098622580239,0.002370570155808327,0.0023623001261150467,0.0023073144921247346,0.002332853756396247,0.002326805254541764,0.0023330381834172353,0.002332401581524368,0.0023312484415281
640,0.004140791480866657,0.004260989084277966,0.004309598708683415,0.004212558277085665,0.004264219879662079,0.004284801405437522,0.004250327298529921,0.004250934052512423,0.0023590687084058537,0.0023541724649910334,0.002299351547936257,0.002324843942117627,0.0023188395941076134,0.0023250280056346107,0.002324435796795421,0.002323294757383465
650,0.004022897572584894,0.0041376855659043255,0.004180639488920002,0.004091044759698681,0.004141069641257822,0.0041587000289515785,0.004126656357091862,0.004127495145653692,0.0023483708950980953,0.0023463423920787596,0.0022916885424428823,0.002317130843385695,0.0023111709391185897,0.0023173339012032557,0.0023167554321587014,0.00231562916773409
660,0.003932591454031686,0.004022766304722092,0.004065713039829277,0.003979861794547124,0.004024977453820355,0.004041123066142571,0.004011992691607236,0.00401288916020226,0.002338361529994115,0.002338778433131461,0.002284293147444494,0.002309718786453141,0.002303735762908432,0.0023098909002901014,0.002309340943128735,0.002308223609214566
670,0.003828209764163204,0.003915724986680025,0.003953117308213239,0.0038742212932888487,0.0039168602193593305,0.0039318691124921035,0.003906312981061144,0.003905946004190808,0.002328943895447133,0.002331453567382291,0.0022771376553427647,0.002302513288404917,0.002296539683906862,0.002302684413796552,0.00230215731320893,0.002301048825793517
680,0.003731259169191814,0.0038160749191938903,0.0038482939125015214,0.003775899169947472,0.0038171291736566193,0.003829147529503363,0.003806096579588636,0.003805826303723725,0.002320036743226339,0.0023243445306307953,0.002270198251426714,0.0022955171433942656,0.0022895574752213044,0.0022956776354327024,0.0022951789715548454,0.0022940746012785063
690,0.003641194314587759,0.003723349673252052,0.003750742819337516,0.0036865778965629037,0.0037233989351370678,0.0037335546103214323,0.003712815526000446,0.0037125632862629043,0.002311571770628129,0.00231764238662735,0.0022634544057147377,0.0022887126445337858,0.0022827683178534564,0.0022888757810808347,0.0022883907708239892,0.0022872880017317243
700,0.0035575207812214016,0.0036371035162733323,0.0036599918691860855,0.003601344025460973,0.0036362274196652944,0.003644691316130988,0.003626571337016493,0.0036259406882601652,0.002303491500823651,0.0023108735740831055,0.0022568883639438875,0.0022820835507209036,0.002276154623740201,0.002282237196976733,0.002281782100717056,0.0022806829068320322
710,0.0034797851650327782,0.003556911647567662,0.003575594581893382,0.0035238475534561386,0.0035551809344571694,0.0035622324873854083,0.0035463943079382387,0.0035455342422743286,0.002295747505760226,0.002304512152684124,0.0022505683036113666,0.0022756153219165576,0.002269701310375516,0.002275760150262207,0.0022753316614450014,0.0022742320626562007
720,0.0034075683497889475,0.003482370252844591,0.0034971286151170844,0.003449994483540997,0.003479848864850199,0.003486016569841599,0.0034710781061617624,0.003470768936376434,0.002288298918634468,0.002298050906855309,0.002244322816546296,0.0022692950777953858,0.002263395314194283,0.002269456741858189,0.0022690262248146187,0.0022679335767500364
730,0.003340480850734573,0.0034130963963601157,0.003424194616642784,0.0033813843129388843,0.0034106183680970847,0.0034148996505012352,0.0034018364492770514,0.003400940931628349,0.0022811111903530135,0.0022917591445827945,0.0022382089372612324,0.002263149883814375,0.002257243794336561,0.0022632626806711187,0.002262871115481513,0.0022617640874547096
740,0.0032781595059229174,0.0033487277705572804,0.0033564153046334866,0.0033176477614136335,0.003345504580790193,0.0033487701285492832,0.0033369233506326257,0.0033361818654746855,0.0022741550510797515,0.0022857181931553727,0.0022322194618392688,0.0022571004735978395,0.0022512037825292985,0.0022571972908480564,0.0022568249905009496,0.0022557290480810233
750,0.0032202650445376513,0.003288922322824517,0.0032934346704672768,0.003258439267197155,0.0032850130117917375,0.003287181075746659,0.003276946694547145,0.0032761515588951573,0.0022674056439057066,0.0022797397465229574,0.002226346771054266,0.002251199231801282,0.0022452783172144386,0.0022512591720563746,0.002250898280486413,0.0022498045332408623
760,0.0031664802250827018,0.003233357778186563,0.0032371908101275215,0.003203435305104252,0.0032288161469316012,0.003229725864184241,0.003221026401556637,0.0032204841050349486,0.002260841802551483,0.0022738427283892637,0.0022205835264742513,0.0022453796733452602,0.002239461013840538,0.002245423290007098,0.002245084306026768,0.0022439915656794485
